onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005399934	2.7	forage	1.174	0	31.20343846	49.83333333	1	1.514858408	1	n/a	n/a	n/a	n/a
14.07785771	2.7	forage	1.163	0	3.427216605	36.66666667	2	26.8780167	0	n/a	n/a	n/a	n/a
20.63110663	2.7	engage	1.157	n/a	n/a	n/a	n/a	n/a	n/a	0	29.945	26.195	0
31.71675639	2.7	forage	1.651	0	11.76789196	43	0.5	15.95	1	n/a	n/a	n/a	n/a
37.98221107	2.7	forage	1.8	0	8.328646782	37.33333333	0.5	19.2138147	0	n/a	n/a	n/a	n/a
46.72723319	2.7	engage	0.819	n/a	n/a	n/a	n/a	n/a	n/a	0	13.095	28.5	0
56.43267012	2.7	forage	2.184	0	-15.19907751	30.83333333	0.5	37.95	0	n/a	n/a	n/a	n/a
63.37620007	2.7	engage	1.177	n/a	n/a	n/a	n/a	n/a	n/a	0	37.605	2.25	1
73.46108204	2.7	forage	0.989	0	21.30001543	55.66666667	1	9.9	1	n/a	n/a	n/a	n/a
80.92351132	2.7	forage	0.948	0	-4.109453414	39.66666667	1	32.72263468	0	n/a	n/a	n/a	n/a
90.87444332	2.7	engage	0.926	n/a	n/a	n/a	n/a	n/a	n/a	0	30.555	15.93	1
103.5633722	2.7	forage	1.014	0	7.181360596	37.33333333	2	20.35	1	n/a	n/a	n/a	n/a
109.8137917	2.7	forage	2.634	0	15.04028821	39.66666667	1	13.16763241	1	n/a	n/a	n/a	n/a
116.8746973	2.7	forage	1.072	0	-13.0343923	26	1	33.34265379	0	n/a	n/a	n/a	n/a
123.422516	2.7	engage	0.995	n/a	n/a	n/a	n/a	n/a	n/a	0	33.66	19.32	1
132.110497	2.7	forage	2.28	0	7.499896383	37.5	0.5	16.5	1	n/a	n/a	n/a	n/a
138.5798087	2.7	forage	0.839	0	-4.53888738	30.33333333	1	26.28920326	0	n/a	n/a	n/a	n/a
149.1376219	2.7	engage	1.095	n/a	n/a	n/a	n/a	n/a	n/a	0	11.73	21.625	0
157.8239639	2.7	forage	1.188	0	29.05430629	61.16666667	1	5.431253458	1	n/a	n/a	n/a	n/a
166.2912904	2.7	forage	1.178	0	-5.774012374	41.16666667	2	36.58134903	0	n/a	n/a	n/a	n/a
174.8363379	2.7	engage	1.169	n/a	n/a	n/a	n/a	n/a	n/a	0	43.55	29.04	1
