onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005463282	2.7	forage	2.877	0	10.43842513	35.83333333	2	13.49219355	1	n/a	n/a	n/a	n/a
13.45035204	2.7	forage	4.659	0	-17.72309827	27.16666667	1	34.40790705	0	n/a	n/a	n/a	n/a
22.36120262	2.7	engage	0.981	n/a	n/a	n/a	n/a	n/a	n/a	0	24.31	13.735	1
32.84776641	2.7	forage	3.74	0	-1.821083447	42	1	30.64416528	1	n/a	n/a	n/a	n/a
40.94662993	2.7	forage	3.67	0	-3.959935449	42.33333333	0.5	32.4419496	0	n/a	n/a	n/a	n/a
49.67614576	2.7	engage	0.942	n/a	n/a	n/a	n/a	n/a	n/a	0	7.41	27.3	0
60.36263462	2.7	forage	1.3	0	30.39684925	56.66666667	0.5	2.532334893	1	n/a	n/a	n/a	n/a
66.42731347	2.7	forage	1.424	0	-5.630458897	38.83333333	1	35.3462351	0	n/a	n/a	n/a	n/a
71.97915236	2.7	engage	1.011	n/a	n/a	n/a	n/a	n/a	n/a	0	46.9	16.2	1
82.0572933	2.7	forage	6.207	0	25.96316668	51.16666667	2	6.583816206	1	n/a	n/a	n/a	n/a
94.03334981	2.7	forage	6.146	0	3.937248629	40.5	0.5	27.31923947	0	n/a	n/a	n/a	n/a
105.4396553	2.7	engage	1.103	n/a	n/a	n/a	n/a	n/a	n/a	0	10.66	17.225	1
115.9435202	2.7	forage	1.149	0	21.51255151	43.33333333	2	8.25	1	n/a	n/a	n/a	n/a
123.2064205	2.7	forage	2.244	0	-6.69076019	34.33333333	2	33	0	n/a	n/a	n/a	n/a
130.9590721	2.7	engage	1.24	n/a	n/a	n/a	n/a	n/a	n/a	0	41.1	8.7	1
141.2537263	2.7	forage	2.515	0	-10.50453247	31.83333333	0.5	33.57146773	0	n/a	n/a	n/a	n/a
150.2032538	2.7	engage	1.548	n/a	n/a	n/a	n/a	n/a	n/a	0	20.925	43.2	0
158.2861685	2.7	forage	5.387	0	-3.430654394	44	0.5	33.55	1	n/a	n/a	n/a	n/a
168.0410085	2.7	forage	1.285	0	8.913598243	48.33333333	0.5	23.1	1	n/a	n/a	n/a	n/a
174.4925653	2.7	forage	1.099	0	-1.835976225	40.16666667	2	31.52378904	0	n/a	n/a	n/a	n/a
183.0512358	2.7	engage	1.461	n/a	n/a	n/a	n/a	n/a	n/a	0	17.325	35.34	0
192.1347186	2.7	forage	3.489	0	24.47909528	49.5	2	8.749788743	1	n/a	n/a	n/a	n/a
202.386585	2.7	forage	2.126	0	-10.96424442	32.66666667	2	36.40064383	0	n/a	n/a	n/a	n/a
209.1354678	2.7	engage	2.547	n/a	n/a	n/a	n/a	n/a	n/a	0	50.66	53.76	0
224.1659757	2.7	forage	2.236	0	-1.259628456	38.5	2	30.91854283	0	n/a	n/a	n/a	n/a
233.1315003	2.7	engage	1.149	n/a	n/a	n/a	n/a	n/a	n/a	0	40.275	17.08	1
240.8241482	2.7	forage	4.474	0	7.94887447	40	1	20.37882652	1	n/a	n/a	n/a	n/a
248.8683204	2.7	forage	1.712	0	0.133522291	40.83333333	0.5	26.95	1	n/a	n/a	n/a	n/a
253.9354996	2.7	forage	1.526	0	-2.14001576	36	2	28.59842312	0	n/a	n/a	n/a	n/a
262.682116	2.7	engage	1.058	n/a	n/a	n/a	n/a	n/a	n/a	0	23.1	5.625	1
274.1644941	2.7	forage	2.247	0	11.39339621	34.83333333	0.5	14.66257231	1	n/a	n/a	n/a	n/a
282.2316045	2.7	forage	2.794	0	3.8581961	29.5	1	19.97910065	0	n/a	n/a	n/a	n/a
289.2781225	2.7	engage	0.893	n/a	n/a	n/a	n/a	n/a	n/a	0	33.25	10.37	1
301.06139	2.7	forage	2.235	0	6.51196754	20.16666667	2	7.574292038	1	n/a	n/a	n/a	n/a
