onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005273377	2.7	forage	1.77	0	4.913783344	36.83333333	1	20.5525879	0	n/a	n/a	n/a	n/a
13.54919746	2.7	engage	0.645	n/a	n/a	n/a	n/a	n/a	n/a	0	3.66	26.79	0
23.43202614	2.7	forage	1.716	0	7.272334725	29.33333333	1	16.15422011	0	n/a	n/a	n/a	n/a
32.18091816	2.7	engage	0.931	n/a	n/a	n/a	n/a	n/a	n/a	0	7.04	17.64	0
45.26129132	2.7	forage	1.884	0	13.29025669	38.16666667	2	12.70842764	1	n/a	n/a	n/a	n/a
53.52619764	2.7	forage	1.031	0	-14.60921097	26.83333333	0.5	32.4893114	0	n/a	n/a	n/a	n/a
62.27902064	2.7	engage	1.111	n/a	n/a	n/a	n/a	n/a	n/a	0	12.72	18.88	0
70.16118528	2.7	forage	1.113	0	30.76979763	58	2	2.030581963	1	n/a	n/a	n/a	n/a
76.61244109	2.7	forage	1.958	0	-5.147641467	38.66666667	0.5	34.59262361	0	n/a	n/a	n/a	n/a
84.36451083	2.7	engage	0.712	n/a	n/a	n/a	n/a	n/a	n/a	0	38.525	21.56	1
97.83688545	2.7	forage	3.447	0	9.878799691	43	1	17.44206277	1	n/a	n/a	n/a	n/a
103.8365678	2.7	forage	2.255	0	9.438393944	45	0.5	17.47816508	0	n/a	n/a	n/a	n/a
111.5927005	2.7	engage	1.298	n/a	n/a	n/a	n/a	n/a	n/a	0	23.12	5.27	1
124.4733948	2.7	forage	1.101	0	25.71720805	44.66666667	2	3.539824456	1	n/a	n/a	n/a	n/a
130.5379396	2.7	forage	0.982	0	-10.55449106	28	0.5	32.89717067	0	n/a	n/a	n/a	n/a
139.2909844	2.7	engage	2.701	n/a	n/a	n/a	n/a	n/a	n/a	0	47.45	40.42	1
153.4922553	2.7	forage	1.448	0	30.71691213	58.83333333	0.5	4.042545647	1	n/a	n/a	n/a	n/a
159.9558957	2.7	forage	1.134	0	-3.840400382	41.16666667	2	35.36922439	0	n/a	n/a	n/a	n/a
166.505918	2.7	engage	2.127	n/a	n/a	n/a	n/a	n/a	n/a	0	59.85	41.16	1
177.1199228	2.7	forage	1.601	0	-19.85678437	22.66666667	0.5	38.44281726	0	n/a	n/a	n/a	n/a
183.8715164	2.7	engage	1.131	n/a	n/a	n/a	n/a	n/a	n/a	0	39.55	6.885	1
192.5585737	2.7	forage	2.847	0	10.76104606	41	2	17.67458377	0	n/a	n/a	n/a	n/a
199.2539341	2.7	engage	1.172	n/a	n/a	n/a	n/a	n/a	n/a	0	19.95	12	1
212.8331712	2.7	forage	1.238	0	18.39106014	42	0.5	9.720484382	1	n/a	n/a	n/a	n/a
220.295402	2.7	forage	0.908	0	-6.707488054	32.83333333	1	30.93187717	0	n/a	n/a	n/a	n/a
230.0563247	2.7	engage	2.046	n/a	n/a	n/a	n/a	n/a	n/a	0	11.125	38.055	0
239.7859863	2.7	forage	1.443	0	4.937049277	34.16666667	2	21.06980534	0	n/a	n/a	n/a	n/a
247.5370876	2.7	engage	2.452	n/a	n/a	n/a	n/a	n/a	n/a	0	28.4	27.72	1
262.4679997	2.7	forage	1.128	0	-7.542068306	38.5	1	37.13132136	0	n/a	n/a	n/a	n/a
269.4172252	2.7	engage	1.417	n/a	n/a	n/a	n/a	n/a	n/a	0	57.285	39.78	1
283.7168704	2.7	forage	1.974	0	23.46326208	54	1	7.330179568	1	n/a	n/a	n/a	n/a
290.9720131	2.7	forage	1.484	0	-5.207079791	38.83333333	1	33.32492078	0	n/a	n/a	n/a	n/a
298.7312185	2.7	engage	1.598	n/a	n/a	n/a	n/a	n/a	n/a	0	56.1	30.6	1
309.6155056	2.7	forage	1.467	0	-10.86398605	26.5	2	29.7594789	0	n/a	n/a	n/a	n/a
317.5800512	2.7	engage	1.334	n/a	n/a	n/a	n/a	n/a	n/a	0	30.16	26.79	1
327.2623614	2.7	forage	1.49	0	-5.497471455	39	1	33.28962074	0	n/a	n/a	n/a	n/a
332.8124504	2.7	engage	0.732	n/a	n/a	n/a	n/a	n/a	n/a	0	53.44	16.675	1
340.8943716	2.7	forage	1.234	0	21.24699529	48	0.5	7.483137166	1	n/a	n/a	n/a	n/a
