onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.00538057	2.7	forage	2.116	0	2.086357494	39.83333333	1	25.06894522	0	n/a	n/a	n/a	n/a
12.58054468	2.7	engage	0.805	n/a	n/a	n/a	n/a	n/a	n/a	0	41.52	7.035	1
20.86840088	2.7	forage	1.013	0	-0.345901615	30.5	2	24.10563603	0	n/a	n/a	n/a	n/a
29.81284991	2.7	engage	1.145	n/a	n/a	n/a	n/a	n/a	n/a	0	36.425	26.22	1
38.89912472	2.7	forage	1.179	0	19.52852908	39.16666667	0.5	8.506478547	1	n/a	n/a	n/a	n/a
45.34919837	2.7	forage	3.895	0	21.35070436	38.83333333	2	6.73110256	1	n/a	n/a	n/a	n/a
51.61064461	2.7	forage	1.286	0	-7.656111027	30.5	0.5	31.67807454	0	n/a	n/a	n/a	n/a
58.17777634	2.7	engage	0.914	n/a	n/a	n/a	n/a	n/a	n/a	0	8.48	17.69	0
68.66178745	2.7	forage	1.31	0	-2.491728786	42.16666667	2	30.7946054	0	n/a	n/a	n/a	n/a
76.61161754	2.7	engage	0.657	n/a	n/a	n/a	n/a	n/a	n/a	0	23.575	49.41	0
87.89183982	2.7	forage	2.566	0	6.509542277	31.66666667	1	18.03513656	0	n/a	n/a	n/a	n/a
97.64200139	2.7	engage	0.735	n/a	n/a	n/a	n/a	n/a	n/a	0	2.205	18.975	0
107.1421041	2.7	forage	2.118	0	7.292729071	38.33333333	0.5	20.69010865	1	n/a	n/a	n/a	n/a
113.2060636	2.7	forage	0.908	0	-9.445553544	35.83333333	0.5	34.1	0	n/a	n/a	n/a	n/a
120.9610771	2.7	engage	0.518	n/a	n/a	n/a	n/a	n/a	n/a	0	0.51	45.57	0
130.2385159	2.7	forage	2.105	0	10.05293178	32.66666667	1	14.3	0	n/a	n/a	n/a	n/a
138.7894167	2.7	engage	2.133	n/a	n/a	n/a	n/a	n/a	n/a	0	1.15	11.57	0
148.6073862	2.7	forage	2.14	0	-11.38349412	31	1	31.9	0	n/a	n/a	n/a	n/a
157.3598539	2.7	engage	1.416	n/a	n/a	n/a	n/a	n/a	n/a	0	31.9	2.92	1
166.4390608	2.7	forage	1.149	0	21.04675335	52.33333333	2	9.9	1	n/a	n/a	n/a	n/a
175.9117314	2.7	forage	0.857	0	-1.066651242	38.16666667	0.5	29.49483929	0	n/a	n/a	n/a	n/a
181.4701194	2.7	engage	0.876	n/a	n/a	n/a	n/a	n/a	n/a	0	19.25	12.74	1
192.1534439	2.7	forage	1.401	0	16.49889895	40.66666667	2	12.60626226	0	n/a	n/a	n/a	n/a
198.9191542	2.7	engage	1.378	n/a	n/a	n/a	n/a	n/a	n/a	0	5.88	3.3	1
209.8013558	2.7	forage	4.944	0	6.822082223	59	1	26.47203863	1	n/a	n/a	n/a	n/a
217.1005756	2.7	forage	0.942	0	-2.743974649	53.83333333	1	33.83181932	0	n/a	n/a	n/a	n/a
