onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005231311	2.7	forage	8.082	0	12.17114783	29.5	2	11.8894447	1	n/a	n/a	n/a	n/a
18.65201068	2.7	forage	1.658	0	-13.66373254	23.83333333	1	33	0	n/a	n/a	n/a	n/a
26.39816871	2.7	engage	0.997	n/a	n/a	n/a	n/a	n/a	n/a	0	5	27.3	0
36.28113408	2.7	forage	2.705	0	30.64246114	60.83333333	0.5	4.042545647	1	n/a	n/a	n/a	n/a
43.74787244	2.7	forage	0.87	0	-4.709845414	41.33333333	2	35.85197173	0	n/a	n/a	n/a	n/a
51.51332691	2.7	engage	0.904	n/a	n/a	n/a	n/a	n/a	n/a	0	16.08	45.99	0
61.01553203	2.7	forage	3.975	0	-5.942617072	31.33333333	1	27.20047533	0	n/a	n/a	n/a	n/a
71.04541228	2.7	engage	2.517	n/a	n/a	n/a	n/a	n/a	n/a	0	18.92	22.26	0
84.04529936	2.7	forage	2.839	0	-7.107130929	30.5	2	27.96866606	0	n/a	n/a	n/a	n/a
91.74410521	2.7	engage	1.266	n/a	n/a	n/a	n/a	n/a	n/a	0	13.95	33.55	0
102.6296004	2.7	forage	2.289	0	31.96109082	59.16666667	0.5	1.514305115	1	n/a	n/a	n/a	n/a
107.8836204	2.7	forage	1.726	0	-3.90866556	39.33333333	0.5	34.2068407	0	n/a	n/a	n/a	n/a
115.6284018	2.7	engage	2.801	n/a	n/a	n/a	n/a	n/a	n/a	0	35.2	12	1
125.9294218	2.7	forage	6.901	0	0.183951176	47	0.5	29.7755797	1	n/a	n/a	n/a	n/a
136.5914738	2.7	forage	3.331	0	17.50907198	51.33333333	1	14.04147427	1	n/a	n/a	n/a	n/a
142.2875808	2.7	forage	1.143	0	-2.219154972	41.83333333	2	30.41941804	0	n/a	n/a	n/a	n/a
149.8427776	2.7	engage	0.731	n/a	n/a	n/a	n/a	n/a	n/a	0	51.625	16.905	1
