onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.00508581	2.7	forage	2.532	0	-8.909937294	25.16666667	1	29.43292591	0	n/a	n/a	n/a	n/a
11.74915059	2.7	engage	0.889	n/a	n/a	n/a	n/a	n/a	n/a	0	46.98	23.055	1
19.82915411	2.7	forage	2.493	0	27.11875778	64.83333333	0.5	8.778421609	1	n/a	n/a	n/a	n/a
26.2874549	2.7	forage	0.706	0	0.899501702	47.83333333	1	33.96972738	0	n/a	n/a	n/a	n/a
33.04778684	2.7	engage	1.317	n/a	n/a	n/a	n/a	n/a	n/a	0	50.16	44.2	1
42.93296043	2.7	forage	6.498	0	12.04350519	40.66666667	1	16.6999321	1	n/a	n/a	n/a	n/a
52.19420896	2.7	forage	1.176	0	-9.934388948	30.16666667	0.5	31.92902017	0	n/a	n/a	n/a	n/a
59.14853974	2.7	engage	2.482	n/a	n/a	n/a	n/a	n/a	n/a	0	41.325	35.695	1
69.71023448	2.7	forage	5.421	0	0.239332026	51.83333333	2	29.7755797	1	n/a	n/a	n/a	n/a
78.49199336	2.7	forage	5.51	0	7.737352749	50.5	0.5	23.61270811	1	n/a	n/a	n/a	n/a
87.36254556	2.7	forage	2.169	0	0.678732626	47.33333333	0.5	29.08678638	0	n/a	n/a	n/a	n/a
94.12745671	2.7	engage	1.453	n/a	n/a	n/a	n/a	n/a	n/a	0	33.6	36.48	0
102.6240587	2.7	forage	6.393	0	0.659581342	35.16666667	0.5	25.34935365	1	n/a	n/a	n/a	n/a
116.2748004	2.7	forage	1.489	0	22.24898513	46.83333333	1	5.053410291	1	n/a	n/a	n/a	n/a
122.732785	2.7	forage	1.887	0	7.351350368	37.5	0.5	20.08657764	0	n/a	n/a	n/a	n/a
129.2919229	2.7	engage	1.401	n/a	n/a	n/a	n/a	n/a	n/a	0	19.795	26.82	0
138.5641388	2.7	forage	6.934	0	14.87163188	35.33333333	0.5	8.225018862	1	n/a	n/a	n/a	n/a
151.05474	2.7	forage	5.42	0	-4.174267894	28.16666667	1	24.62949298	0	n/a	n/a	n/a	n/a
163.3401215	2.7	engage	1.651	n/a	n/a	n/a	n/a	n/a	n/a	0	12.6	11.045	1
171.4260193	2.7	forage	2.791	0	14.33733062	51.83333333	2	18.93727931	1	n/a	n/a	n/a	n/a
179.9689866	2.7	forage	4.555	0	-8.245304394	44.66666667	1	38.26720235	0	n/a	n/a	n/a	n/a
188.5883073	2.7	engage	1.113	n/a	n/a	n/a	n/a	n/a	n/a	0	58.1	10.925	1
199.6726908	2.7	forage	3.096	0	9.30401405	40.5	2	19.49975605	1	n/a	n/a	n/a	n/a
206.3179874	2.7	forage	2.716	0	16.19948125	43.83333333	0.5	12.92069815	1	n/a	n/a	n/a	n/a
213.6006232	2.7	forage	0.985	0	-1.77813507	34.83333333	0.5	27.96800211	0	n/a	n/a	n/a	n/a
222.5694926	2.7	engage	1.693	n/a	n/a	n/a	n/a	n/a	n/a	0	12.925	22.165	0
231.2497822	2.7	forage	9.586	0	1.279329343	38.33333333	2	26.26834415	1	n/a	n/a	n/a	n/a
244.6014956	2.7	forage	2.082	0	-3.543774961	36.83333333	0.5	30.08553393	0	n/a	n/a	n/a	n/a
250.3677782	2.7	engage	1.471	n/a	n/a	n/a	n/a	n/a	n/a	0	29.96	8.36	1
264.6731604	2.7	forage	4.45	0	22.30941385	54.33333333	1	9.643078819	1	n/a	n/a	n/a	n/a
273.6804797	2.7	forage	0.795	0	4.179454085	45	1	27.36411146	0	n/a	n/a	n/a	n/a
281.2347227	2.7	engage	1.292	n/a	n/a	n/a	n/a	n/a	n/a	0	9.76	19.71	0
294.3126269	2.7	forage	3.315	0	27.24595225	49.66666667	0.5	6.30313113	1	n/a	n/a	n/a	n/a
300.9951017	2.7	forage	3.959	0	3.514037356	42.33333333	0.5	28.6	1	n/a	n/a	n/a	n/a
307.5174091	2.7	forage	1.641	0	27.2455133	49.66666667	0.5	6.304099391	1	n/a	n/a	n/a	n/a
316.7789378	2.7	forage	2.065	0	14.16977164	45.16666667	2	19.18382627	0	n/a	n/a	n/a	n/a
323.5298964	2.7	engage	1.474	n/a	n/a	n/a	n/a	n/a	n/a	0	21.525	7.695	1
332.4135864	2.7	forage	5.698	0	30.28892963	58	2	2.058799859	1	n/a	n/a	n/a	n/a
340.4603003	2.7	forage	1.56	0	0.383671177	40.66666667	2	30.5143353	0	n/a	n/a	n/a	n/a
347.0148744	2.7	engage	3.297	n/a	n/a	n/a	n/a	n/a	n/a	0	50.75	45.5	1
356.5916016	2.7	forage	1.516	0	32.46355566	55.5	0.5	2.559501534	1	n/a	n/a	n/a	n/a
362.8583846	2.7	forage	1.193	0	-8.755786429	34.66666667	2	36.94931593	0	n/a	n/a	n/a	n/a
369.6125764	2.7	engage	1.611	n/a	n/a	n/a	n/a	n/a	n/a	0	39	45.885	0
381.095223	2.7	forage	4.701	0	18.10922422	46.83333333	0.5	8.592404809	1	n/a	n/a	n/a	n/a
390.1588919	2.7	forage	3.797	0	-5.200414466	35.33333333	1	29.29167044	0	n/a	n/a	n/a	n/a
401.0085357	2.7	engage	2.909	n/a	n/a	n/a	n/a	n/a	n/a	0	41.47	35.8	0
413.4056905	2.7	forage	1.567	0	16.58192043	52.5	1	14.85	1	n/a	n/a	n/a	n/a
420.8724432	2.7	forage	4.603	0	0.542692856	41.33333333	0.5	29.28027262	0	n/a	n/a	n/a	n/a
430.5400734	2.7	engage	1.225	n/a	n/a	n/a	n/a	n/a	n/a	0	18.525	48.43	0
439.6218596	2.7	forage	2.67	0	19.83794662	48	0.5	11.58247825	1	n/a	n/a	n/a	n/a
446.6839924	2.7	forage	3.981	0	8.30690978	41	1	22.21229817	0	n/a	n/a	n/a	n/a
454.9221581	2.7	engage	1.577	n/a	n/a	n/a	n/a	n/a	n/a	0	20.46	22.185	0
464.8060628	2.7	forage	4.175	0	-3.904163607	33.83333333	0.5	27.7352598	1	n/a	n/a	n/a	n/a
474.7385094	2.7	forage	2.474	0	-7.36111044	38.66666667	2	31.9	0	n/a	n/a	n/a	n/a
483.686795	2.7	engage	1.246	n/a	n/a	n/a	n/a	n/a	n/a	0	9.24	51.04	0
496.1674407	2.7	forage	2.571	0	-14.74991868	26.83333333	2	35.09166541	0	n/a	n/a	n/a	n/a
501.9191557	2.7	engage	1.486	n/a	n/a	n/a	n/a	n/a	n/a	0	44.54	21.12	1
511.6173347	2.7	forage	1.892	0	24.11681622	47.66666667	1	8.780081485	1	n/a	n/a	n/a	n/a
517.0777045	2.7	forage	1.074	0	-7.335408179	31.33333333	0.5	33.11353554	0	n/a	n/a	n/a	n/a
