onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005575459	2.7	forage	3.521	0	-16.16118237	26.16666667	0.5	35.55064886	0	n/a	n/a	n/a	n/a
13.58217232	2.7	engage	1.081	n/a	n/a	n/a	n/a	n/a	n/a	0	14.62	60.375	0
23.66572864	2.7	forage	2.255	0	11.08967943	49.16666667	2	18.47035612	1	n/a	n/a	n/a	n/a
28.92578332	2.7	forage	3.757	0	0.658074544	41.66666667	0.5	27.38120819	0	n/a	n/a	n/a	n/a
36.94739054	2.7	engage	1.19	n/a	n/a	n/a	n/a	n/a	n/a	0	26.2	46.17	0
47.43398023	2.7	forage	1.987	0	10.7153718	48.83333333	1	18.32544892	1	n/a	n/a	n/a	n/a
53.49061864	2.7	forage	3.097	0	-5.803515752	38.5	1	30.9180172	0	n/a	n/a	n/a	n/a
59.84605092	2.7	engage	1.993	n/a	n/a	n/a	n/a	n/a	n/a	0	31.9	34.83	0
68.52808643	2.7	forage	4.689	0	9.822493	38.83333333	0.5	14.3	1	n/a	n/a	n/a	n/a
76.77787917	2.7	forage	8.918	0	0.486745804	30.66666667	2	21.81882451	0	n/a	n/a	n/a	n/a
91.76073527	2.7	engage	2.112	n/a	n/a	n/a	n/a	n/a	n/a	0	19.27	11.02	1
102.9348516	2.7	forage	2.642	0	-17.04024546	25.33333333	0.5	37.22018007	0	n/a	n/a	n/a	n/a
108.8967177	2.7	engage	1.466	n/a	n/a	n/a	n/a	n/a	n/a	0	44.88	14.31	1
116.9747731	2.7	forage	2.416	0	30.39259997	60.5	2	3.556450883	1	n/a	n/a	n/a	n/a
125.043422	2.7	forage	1.963	0	4.516877421	44.83333333	1	28.9460842	1	n/a	n/a	n/a	n/a
133.3094414	2.7	forage	2.906	0	-5.221644283	49.66666667	1	37.95	1	n/a	n/a	n/a	n/a
139.7745719	2.7	forage	0.873	0	2.192039971	52	1	31.9	1	n/a	n/a	n/a	n/a
149.0322065	2.7	forage	1.008	0	-3.906795433	41.83333333	1	35.20414969	0	n/a	n/a	n/a	n/a
155.7942184	2.7	engage	1.258	n/a	n/a	n/a	n/a	n/a	n/a	0	44.505	28.08	1
164.2700572	2.7	forage	6.031	0	-7.434290696	36.33333333	1	33.55	1	n/a	n/a	n/a	n/a
173.6692881	2.7	forage	3.135	0	10.03005131	40.33333333	1	19.25	1	n/a	n/a	n/a	n/a
182.1691505	2.7	forage	0.931	0	13.60438459	41.66666667	0.5	15.95	1	n/a	n/a	n/a	n/a
190.2425167	2.7	forage	1.359	0	-13.03827641	26.83333333	2	33.88620794	0	n/a	n/a	n/a	n/a
197.1875714	2.7	engage	0.979	n/a	n/a	n/a	n/a	n/a	n/a	0	13.86	41.7	0
205.4715345	2.7	forage	3.458	0	29.18196922	56.5	1	5.5	1	n/a	n/a	n/a	n/a
214.4865986	2.7	forage	1.163	0	0.417291048	39.83333333	1	31.2542528	0	n/a	n/a	n/a	n/a
221.0361178	2.7	engage	0.887	n/a	n/a	n/a	n/a	n/a	n/a	0	28.08	50.4	0
232.3327803	2.7	forage	1.69	0	-8.606729541	28.83333333	0.5	30.04367738	0	n/a	n/a	n/a	n/a
239.8849943	2.7	engage	1.811	n/a	n/a	n/a	n/a	n/a	n/a	0	44.52	46.375	0
248.7813846	2.7	forage	2.207	0	27.32276579	59.83333333	2	6.304099391	1	n/a	n/a	n/a	n/a
256.0406615	2.7	forage	1.718	0	-4.040776956	42.83333333	0.5	35.36922439	0	n/a	n/a	n/a	n/a
261.6002933	2.7	engage	2.015	n/a	n/a	n/a	n/a	n/a	n/a	0	32.2	34.3	1
