onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.00531116	2.7	forage	2.371	0	7.354594504	36.5	1	16.6999321	1	n/a	n/a	n/a	n/a
13.26391108	2.7	forage	1.042	0	-12.29681153	27.66666667	0.5	29.62749107	0	n/a	n/a	n/a	n/a
18.81666134	2.7	engage	1.25	n/a	n/a	n/a	n/a	n/a	n/a	0	20.52	27.685	0
29.09735712	2.7	forage	0.808	0	26.84570075	52.16666667	1	4.390040742	1	n/a	n/a	n/a	n/a
35.36005397	2.7	forage	2.102	0	0.126371913	39	2	29.6315301	0	n/a	n/a	n/a	n/a
43.92898589	2.7	engage	2.351	n/a	n/a	n/a	n/a	n/a	n/a	0	6.82	12.47	0
55.98181667	2.7	forage	0.951	0	5.298042855	44.66666667	2	22.91417685	1	n/a	n/a	n/a	n/a
62.44334304	2.7	forage	2.86	0	7.089078853	43.5	1	21.27106534	0	n/a	n/a	n/a	n/a
69.16072667	2.7	engage	0.688	n/a	n/a	n/a	n/a	n/a	n/a	0	32.6	14.985	1
80.24402055	2.7	forage	0.63	0	30.64813608	50.83333333	0.5	2.638622303	1	n/a	n/a	n/a	n/a
87.31294152	2.7	forage	0.833	0	19.72168704	44	2	13.46120919	1	n/a	n/a	n/a	n/a
94.7757716	2.7	forage	1.417	0	-11.43430294	30	1	36.32558976	0	n/a	n/a	n/a	n/a
100.7421144	2.7	engage	0.706	n/a	n/a	n/a	n/a	n/a	n/a	0	53.95	24.79	1
111.6243906	2.7	forage	0.76	0	15.49062924	52.33333333	2	15.25835723	1	n/a	n/a	n/a	n/a
116.6806525	2.7	forage	1.016	0	-9.398175142	37.5	1	34.89001811	0	n/a	n/a	n/a	n/a
124.6240661	2.7	engage	0.93	n/a	n/a	n/a	n/a	n/a	n/a	0	46.9	18.56	1
135.7054712	2.7	forage	0.608	0	15.7715301	51	2	15.11931492	1	n/a	n/a	n/a	n/a
143.7645278	2.7	forage	2.692	0	5.714752947	42.83333333	1	24.53208591	1	n/a	n/a	n/a	n/a
151.0321698	2.7	forage	1.194	0	1.142776856	42.66666667	0.5	28.51905337	0	n/a	n/a	n/a	n/a
157.7899469	2.7	engage	0.83	n/a	n/a	n/a	n/a	n/a	n/a	0	14.56	26.97	0
166.8719247	2.7	forage	0.745	0	30.08958034	60.16666667	0.5	3.539824456	1	n/a	n/a	n/a	n/a
173.3263385	2.7	forage	1.264	0	3.136048489	44.16666667	2	29.73123334	0	n/a	n/a	n/a	n/a
181.2705911	2.7	engage	1.427	n/a	n/a	n/a	n/a	n/a	n/a	0	21.2	41.25	0
189.5530166	2.7	forage	2.777	0	12.15983116	49	0.5	19.25	1	n/a	n/a	n/a	n/a
196.7242239	2.7	forage	0.941	0	-8.340177389	36	1	34.83933655	0	n/a	n/a	n/a	n/a
206.6730884	2.7	engage	0.74	n/a	n/a	n/a	n/a	n/a	n/a	0	57.96	27.965	1
217.7528406	2.7	forage	0.731	0	-4.890799591	45.5	0.5	33	1	n/a	n/a	n/a	n/a
225.2067284	2.7	forage	0.976	0	-7.424349882	40.83333333	2	34.89801318	0	n/a	n/a	n/a	n/a
230.7508194	2.7	engage	1.41	n/a	n/a	n/a	n/a	n/a	n/a	0	20.1	9.15	1
240.2385188	2.7	forage	0.712	0	25.47772848	53.5	2	6.617179719	1	n/a	n/a	n/a	n/a
247.2846818	2.7	forage	1.092	0	-7.547390976	36.66666667	2	34.51353051	0	n/a	n/a	n/a	n/a
254.8327343	2.7	engage	1.336	n/a	n/a	n/a	n/a	n/a	n/a	0	26.68	33.66	0
263.3334432	2.7	forage	1.543	0	-12.27274701	23.33333333	0.5	31.32770233	0	n/a	n/a	n/a	n/a
270.2837644	2.7	engage	0.713	n/a	n/a	n/a	n/a	n/a	n/a	0	8.19	43.4	0
280.3644478	2.7	forage	3.7	0	5.147497611	35.33333333	1	19.44096876	0	n/a	n/a	n/a	n/a
287.1306652	2.7	engage	0.648	n/a	n/a	n/a	n/a	n/a	n/a	0	30.78	8.6	1
298.6141942	2.7	forage	1.069	0	-8.50686954	33	1	30.37034103	0	n/a	n/a	n/a	n/a
305.1795964	2.7	engage	0.639	n/a	n/a	n/a	n/a	n/a	n/a	0	44.52	13.11	1
314.4627935	2.7	forage	0.707	0	29.26760592	58	1	4.722541623	1	n/a	n/a	n/a	n/a
