onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005306435	2.7	forage	3.367	0	-6.466514595	35.66666667	2	30.8300161	0	n/a	n/a	n/a	n/a
13.24424955	2.7	engage	0.87	n/a	n/a	n/a	n/a	n/a	n/a	0	31.635	28.325	1
24.75115835	2.7	forage	1.34	0	-10.14422866	41.16666667	1	36.85	0	n/a	n/a	n/a	n/a
32.70970971	2.7	engage	1.854	n/a	n/a	n/a	n/a	n/a	n/a	0	1.7	40.535	0
42.06253786	2.7	forage	1.256	0	5.575262478	48.83333333	0.5	23.84154972	0	n/a	n/a	n/a	n/a
50.60852568	2.7	engage	0.843	n/a	n/a	n/a	n/a	n/a	n/a	0	7.175	40.655	0
61.49805453	2.7	forage	1.409	0	-2.747639287	21.5	2	19.29738947	0	n/a	n/a	n/a	n/a
68.24421073	2.7	engage	0.778	n/a	n/a	n/a	n/a	n/a	n/a	0	15.84	28.05	0
81.03331494	2.7	forage	5.193	0	3.450504669	24.5	2	14.64118757	0	n/a	n/a	n/a	n/a
89.08954868	2.7	engage	0.834	n/a	n/a	n/a	n/a	n/a	n/a	0	9.785	25.81	0
100.9752047	2.7	forage	1.624	0	-7.455384035	42.83333333	1	34.02591419	0	n/a	n/a	n/a	n/a
107.5265974	2.7	engage	0.817	n/a	n/a	n/a	n/a	n/a	n/a	0	20.16	17.52	0
117.4084508	2.7	forage	1.247	0	19.03338984	49.66666667	0.5	11.73477189	1	n/a	n/a	n/a	n/a
123.6777515	2.7	forage	3.477	0	12.80959895	44	2	18.35081736	0	n/a	n/a	n/a	n/a
130.2036915	2.7	engage	0.758	n/a	n/a	n/a	n/a	n/a	n/a	0	28.08	19.46	1
141.3883992	2.7	forage	0.967	0	20.09481247	53.16666667	0.5	11.58103969	1	n/a	n/a	n/a	n/a
146.4554747	2.7	forage	1.571	0	-4.079811713	40.33333333	0.5	32.81401086	0	n/a	n/a	n/a	n/a
152.0023294	2.7	engage	1.32	n/a	n/a	n/a	n/a	n/a	n/a	0	33.15	28.165	0
162.5059309	2.7	forage	1.23	0	3.470371544	24	0.5	14.3	1	n/a	n/a	n/a	n/a
