onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005394756	2.7	forage	1.473	0	19.45391395	36.83333333	0.5	8.8	1	n/a	n/a	n/a	n/a
14.46636165	2.7	forage	4.316	0	-6.082030079	26.5	1	29.17998843	0	n/a	n/a	n/a	n/a
27.04804061	2.7	engage	2.537	n/a	n/a	n/a	n/a	n/a	n/a	0	18.5	31.08	0
38.09086092	2.7	forage	7.286	0	-4.825107221	39	0.5	33.2955963	1	n/a	n/a	n/a	n/a
47.95502076	2.7	forage	5.469	0	-8.579917006	38.33333333	0.5	36.25020371	1	n/a	n/a	n/a	n/a
58.20373231	2.7	forage	2.041	0	-5.557653036	38.83333333	0.5	33.87342689	0	n/a	n/a	n/a	n/a
65.16618893	2.7	engage	1.053	n/a	n/a	n/a	n/a	n/a	n/a	0	42.16	8.67	1
76.07038087	2.7	forage	2.585	0	-14.11257231	23.16666667	1	32.45	1	n/a	n/a	n/a	n/a
82.14514718	2.7	forage	3.333	0	2.807737874	24.16666667	2	18.25838992	0	n/a	n/a	n/a	n/a
90.54419331	2.7	engage	2.11	n/a	n/a	n/a	n/a	n/a	n/a	0	13.68	11.865	0
100.7462278	2.7	forage	1.935	0	27.36831464	57	2	4.542915346	1	n/a	n/a	n/a	n/a
107.8105348	2.7	forage	1.702	0	-4.853948494	39.16666667	2	33.6587219	0	n/a	n/a	n/a	n/a
115.5760329	2.7	engage	1.703	n/a	n/a	n/a	n/a	n/a	n/a	0	18.27	36.285	0
125.2831709	2.7	forage	1.141	0	30.69619872	59.5	1	2.531338967	1	n/a	n/a	n/a	n/a
130.3540046	2.7	forage	1.787	0	1.78814228	42.83333333	2	30.41969468	0	n/a	n/a	n/a	n/a
136.3080232	2.7	engage	2.348	n/a	n/a	n/a	n/a	n/a	n/a	0	16.17	13.865	1
