onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005261899	2.7	forage	3.677	0	-9.940176383	32	2	31.9	0	n/a	n/a	n/a	n/a
15.53216279	2.7	engage	1.39	n/a	n/a	n/a	n/a	n/a	n/a	0	3.78	20.3	0
25.41925819	2.7	forage	2.294	0	7.457080797	49.66666667	2	22.55	0	n/a	n/a	n/a	n/a
32.16605503	2.7	engage	2.153	n/a	n/a	n/a	n/a	n/a	n/a	0	29.11	1.075	1
47.015627	2.7	forage	3.831	0	0.193779488	34.33333333	0.5	22.75399879	0	n/a	n/a	n/a	n/a
54.89636383	2.7	engage	1.605	n/a	n/a	n/a	n/a	n/a	n/a	0	25.28	36.675	0
65.78333376	2.7	forage	2.744	0	18.35498919	37.16666667	2	8.8	1	n/a	n/a	n/a	n/a
72.27578368	2.7	forage	2.174	0	-14.02549335	26.16666667	0.5	35.2308737	0	n/a	n/a	n/a	n/a
79.0330104	2.7	engage	3.911	n/a	n/a	n/a	n/a	n/a	n/a	0	8.3	13.975	0
90.02837703	2.7	forage	4.4	0	9.000883758	45.66666667	1	21.27388713	1	n/a	n/a	n/a	n/a
101.1944932	2.7	forage	1.759	0	-5.337317372	43.5	1	33.13201549	0	n/a	n/a	n/a	n/a
106.7465877	2.7	engage	1.308	n/a	n/a	n/a	n/a	n/a	n/a	0	8.71	16.695	0
114.4329661	2.7	forage	2.458	0	-10.31856362	27	1	30.52938484	0	n/a	n/a	n/a	n/a
121.1799077	2.7	engage	1.206	n/a	n/a	n/a	n/a	n/a	n/a	0	27	14.26	1
131.455031	2.7	forage	2.194	0	8.73164814	43.66666667	0.5	19.52335396	1	n/a	n/a	n/a	n/a
137.7106215	2.7	forage	3.943	0	7.974613618	41	1	20.3102183	1	n/a	n/a	n/a	n/a
144.0048565	2.7	forage	1.414	0	-5.421484164	35.5	0.5	30.38801871	0	n/a	n/a	n/a	n/a
150.9589224	2.7	engage	1.697	n/a	n/a	n/a	n/a	n/a	n/a	0	18.36	13.8	1
160.5056308	2.7	forage	4.161	0	-4.458547524	18.83333333	2	21.07135456	0	n/a	n/a	n/a	n/a
169.7228194	2.7	engage	2.143	n/a	n/a	n/a	n/a	n/a	n/a	0	30.96	33.6	0
183.7573801	2.7	forage	3.338	0	4.333691632	46.5	2	26.85870681	1	n/a	n/a	n/a	n/a
190.6573858	2.7	forage	0.875	0	-7.197087001	42.5	2	35.33893164	0	n/a	n/a	n/a	n/a
