onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005269833	2.7	forage	3.431	0	-3.891956139	43.83333333	2	34.3401841	0	n/a	n/a	n/a	n/a
14.48211443	2.7	engage	1.492	n/a	n/a	n/a	n/a	n/a	n/a	0	52.8	18.48	1
22.76589283	2.7	forage	2.306	0	31.42591352	52	2	2.030222323	1	n/a	n/a	n/a	n/a
30.22270733	2.7	forage	2.152	0	15.65314588	43.5	1	17.66946582	0	n/a	n/a	n/a	n/a
37.99732314	2.7	engage	3.514	n/a	n/a	n/a	n/a	n/a	n/a	0	12.42	18.375	0
49.99781571	2.7	forage	3.956	0	-1.994499941	34.66666667	2	27.5	1	n/a	n/a	n/a	n/a
57.31455399	2.7	forage	1.203	0	-9.687054474	29.16666667	2	33.0027388	0	n/a	n/a	n/a	n/a
63.87903845	2.7	engage	2.161	n/a	n/a	n/a	n/a	n/a	n/a	0	28.52	7.59	1
73.7296008	2.7	forage	3.182	0	14.44283973	39.66666667	1	13.14721593	0	n/a	n/a	n/a	n/a
79.7614741	2.7	engage	1.295	n/a	n/a	n/a	n/a	n/a	n/a	0	21.32	4.8	1
89.24478336	2.7	forage	1.969	0	22.36304445	57.33333333	0.5	10.45	1	n/a	n/a	n/a	n/a
96.30539669	2.7	forage	1.919	0	-6.984591486	39.66666667	1	35.63441728	0	n/a	n/a	n/a	n/a
103.0766997	2.7	engage	1.545	n/a	n/a	n/a	n/a	n/a	n/a	0	39.06	56.95	0
113.3559477	2.7	forage	1.496	0	29.5325775	49	2	2.030581963	1	n/a	n/a	n/a	n/a
118.6097955	2.7	forage	2.251	0	-12.87975823	28.5	0.5	35.97582617	0	n/a	n/a	n/a	n/a
125.1753437	2.7	engage	1.401	n/a	n/a	n/a	n/a	n/a	n/a	0	58.82	18.6	1
134.256831	2.7	forage	1.766	0	1.885460825	42.33333333	2	29.47882149	1	n/a	n/a	n/a	n/a
139.5219391	2.7	forage	4.225	0	-7.240817363	39.83333333	0.5	36.74210804	0	n/a	n/a	n/a	n/a
147.0072748	2.7	engage	2.462	n/a	n/a	n/a	n/a	n/a	n/a	0	11.56	18.425	1
156.9504638	2.7	forage	2.043	0	28.99560753	57.66666667	1	4.542915346	1	n/a	n/a	n/a	n/a
163.4102373	2.7	forage	1.225	0	-1.95855071	41.16666667	1	33.01186812	0	n/a	n/a	n/a	n/a
174.3590513	2.7	engage	6.101	n/a	n/a	n/a	n/a	n/a	n/a	0	22.1	19.845	0
190.1372417	2.7	forage	1.652	0	-7.684150026	36.16666667	2	32.89741965	0	n/a	n/a	n/a	n/a
197.9041447	2.7	engage	2.512	n/a	n/a	n/a	n/a	n/a	n/a	0	38.75	23.94	1
209.5009002	2.7	forage	1.518	0	19.63443841	41.5	1	6.304099391	1	n/a	n/a	n/a	n/a
214.9823873	2.7	forage	1.438	0	-3.098479956	31.16666667	2	26.64134601	0	n/a	n/a	n/a	n/a
223.5359711	2.7	engage	2.126	n/a	n/a	n/a	n/a	n/a	n/a	0	15.86	18.63	0
232.7498848	2.7	forage	2.6	0	16.14598712	33.66666667	2	9.35	1	n/a	n/a	n/a	n/a
239.0155953	2.7	forage	1.459	0	-15.82611975	23.5	2	35.12032594	0	n/a	n/a	n/a	n/a
245.5679839	2.7	engage	1.784	n/a	n/a	n/a	n/a	n/a	n/a	0	12	52.48	0
