onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005288822	2.7	forage	2.082	0	-10.05704643	39.5	0.5	36.51785876	1	n/a	n/a	n/a	n/a
12.08582919	2.7	forage	4.034	0	7.003051154	46.33333333	0.5	24.78737488	0	n/a	n/a	n/a	n/a
20.17976556	2.7	engage	0.844	n/a	n/a	n/a	n/a	n/a	n/a	0	14.52	35.88	0
32.26367757	2.7	forage	4.105	0	10.10602015	47.5	0.5	20.9	1	n/a	n/a	n/a	n/a
39.73098691	2.7	forage	1.157	0	-11.3325433	33.5	0.5	35.4320507	0	n/a	n/a	n/a	n/a
49.678011	2.7	engage	0.842	n/a	n/a	n/a	n/a	n/a	n/a	0	18.02	42.185	0
58.96505176	2.7	forage	0.951	0	12.04955452	44.66666667	1	14.64063427	1	n/a	n/a	n/a	n/a
64.22615895	2.7	forage	2.256	0	5.313066579	40.5	2	20.91120416	0	n/a	n/a	n/a	n/a
70.97673459	2.7	engage	1.008	n/a	n/a	n/a	n/a	n/a	n/a	0	24.96	9.43	1
82.05900318	2.7	forage	2.35	0	-8.784218265	25.83333333	2	29.10020371	0	n/a	n/a	n/a	n/a
89.60889899	2.7	engage	0.664	n/a	n/a	n/a	n/a	n/a	n/a	0	36.305	3.38	1
101.7984527	2.7	forage	2.578	0	-0.720747783	44.66666667	0.5	25.85	1	n/a	n/a	n/a	n/a
109.2462246	2.7	forage	0.984	0	1.515068659	38.83333333	2	24.0108571	0	n/a	n/a	n/a	n/a
116.2072436	2.7	engage	1.024	n/a	n/a	n/a	n/a	n/a	n/a	0	25.83	16.875	1
124.8921409	2.7	forage	2.728	0	11.03040524	37.5	2	16.5	1	n/a	n/a	n/a	n/a
133.1757394	2.7	forage	1.281	0	0.168567812	34.33333333	0.5	25.85	0	n/a	n/a	n/a	n/a
139.1391757	2.7	engage	0.414	n/a	n/a	n/a	n/a	n/a	n/a	0	22.795	1.575	1
150.6243889	2.7	forage	3.291	0	-9.920471807	33.83333333	0.5	33.88662291	0	n/a	n/a	n/a	n/a
160.1712382	2.7	engage	0.709	n/a	n/a	n/a	n/a	n/a	n/a	0	33.9	12.915	1
170.2609178	2.7	forage	3.027	0	-7.28005315	28.16666667	2	27.5	0	n/a	n/a	n/a	n/a
176.5368499	2.7	engage	2.133	n/a	n/a	n/a	n/a	n/a	n/a	0	17.5	3.81	1
188.5735529	2.7	forage	2.296	0	1.739382492	31	0.5	19.97987526	0	n/a	n/a	n/a	n/a
194.5190738	2.7	engage	0.685	n/a	n/a	n/a	n/a	n/a	n/a	0	29.07	9.88	1
203.8205478	2.7	forage	2.959	0	3.198030113	35.66666667	0.5	21.45	0	n/a	n/a	n/a	n/a
