onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005378354	2.7	forage	3.307	0	11.1929016	43.66666667	2	17.6	1	n/a	n/a	n/a	n/a
12.6836524	2.7	forage	1.245	0	-16.77338346	27.83333333	2	36.03143202	0	n/a	n/a	n/a	n/a
19.64646646	2.7	engage	1.08	n/a	n/a	n/a	n/a	n/a	n/a	0	55.44	46.15	1
30.53465775	2.7	forage	1.203	0	21.78665242	52	2	11	1	n/a	n/a	n/a	n/a
38.79601891	2.7	forage	5.622	0	13.75561591	45.83333333	0.5	19.28350184	0	n/a	n/a	n/a	n/a
48.27808915	2.7	engage	0.782	n/a	n/a	n/a	n/a	n/a	n/a	0	24.51	13.75	1
59.7695882	2.7	forage	1.817	0	12.96549268	24.83333333	0.5	5.140636789	1	n/a	n/a	n/a	n/a
67.24585701	2.7	forage	1.836	0	1.87212833	19.66666667	2	14.13849404	0	n/a	n/a	n/a	n/a
73.80976517	2.7	engage	1.482	n/a	n/a	n/a	n/a	n/a	n/a	0	8.54	7.02	1
81.89413912	2.7	forage	1.951	0	15.15271163	40	0.5	13.07866305	1	n/a	n/a	n/a	n/a
90.16047842	2.7	forage	0.491	0	-18.30270493	26.16666667	0.5	35.85197173	0	n/a	n/a	n/a	n/a
97.10834377	2.7	engage	0.694	n/a	n/a	n/a	n/a	n/a	n/a	0	56.28	38.115	1
105.5945496	2.7	forage	3.373	0	3.863050316	48	1	26.11126452	1	n/a	n/a	n/a	n/a
115.5328826	2.7	forage	2.558	0	-7.528339285	42	2	34.87026558	0	n/a	n/a	n/a	n/a
123.2943386	2.7	engage	0.671	n/a	n/a	n/a	n/a	n/a	n/a	0	14.525	51	0
133.996309	2.7	forage	1.294	0	10.19855272	31.5	1	14.3	1	n/a	n/a	n/a	n/a
141.2521094	2.7	forage	1.508	0	-14.71386617	20.5	0.5	31.60111161	0	n/a	n/a	n/a	n/a
151.2091434	2.7	engage	0.748	n/a	n/a	n/a	n/a	n/a	n/a	0	18.6	20.23	0
162.4901408	2.7	forage	1.174	0	17.20106534	35.66666667	2	9.100271616	1	n/a	n/a	n/a	n/a
172.2541465	2.7	forage	0.98	0	-1.544961186	27	1	23.46268296	0	n/a	n/a	n/a	n/a
179.0061543	2.7	engage	1.174	n/a	n/a	n/a	n/a	n/a	n/a	0	31.16	36.96	0
188.2919432	2.7	forage	1.286	0	30.16781215	54	1	2.030222323	1	n/a	n/a	n/a	n/a
196.3522074	2.7	forage	1.211	0	-7.492152139	34.33333333	2	34.43546099	0	n/a	n/a	n/a	n/a
205.1059595	2.7	engage	1.029	n/a	n/a	n/a	n/a	n/a	n/a	0	29.89	29.12	0
216.1865503	2.7	forage	2.065	0	20.95256828	48.33333333	2	10.86164931	1	n/a	n/a	n/a	n/a
223.4544557	2.7	forage	0.955	0	3.18638147	43.16666667	0.5	27.46846235	0	n/a	n/a	n/a	n/a
229.2169015	2.7	engage	0.441	n/a	n/a	n/a	n/a	n/a	n/a	0	19.75	4.26	1
241.5057955	2.7	forage	2.511	0	13.39203293	37.66666667	0.5	14.29446708	0	n/a	n/a	n/a	n/a
250.2513435	2.7	engage	1.699	n/a	n/a	n/a	n/a	n/a	n/a	0	15.34	5.28	1
259.7376181	2.7	forage	1.253	0	30.57882887	60	0.5	3.095530909	1	n/a	n/a	n/a	n/a
266.1975317	2.7	forage	0.62	0	-3.452452258	41.16666667	1	34.33678135	0	n/a	n/a	n/a	n/a
276.1480345	2.7	engage	2.32	n/a	n/a	n/a	n/a	n/a	n/a	0	23.01	19.175	0
286.9658008	2.7	forage	2.285	0	8.478852673	40.66666667	1	21.49821941	0	n/a	n/a	n/a	n/a
295.9295479	2.7	engage	2.336	n/a	n/a	n/a	n/a	n/a	n/a	0	9.24	6.16	1
