onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005272488	2.7	forage	7.076	0	-2.985857351	27.66666667	2	23.65	0	n/a	n/a	n/a	n/a
18.93207389	2.7	engage	1.175	n/a	n/a	n/a	n/a	n/a	n/a	0	27.95	3.71	1
28.22280839	2.7	forage	2.548	0	-9.833001861	38.83333333	0.5	36.25825411	0	n/a	n/a	n/a	n/a
34.98099439	2.7	engage	0.974	n/a	n/a	n/a	n/a	n/a	n/a	0	5.565	27.47	0
45.66621022	2.7	forage	2.597	0	0.095824657	43.83333333	0.5	29.15	1	n/a	n/a	n/a	n/a
52.14120781	2.7	forage	1.122	0	3.888780242	38.33333333	1	25.06844726	0	n/a	n/a	n/a	n/a
59.69636211	2.7	engage	0.938	n/a	n/a	n/a	n/a	n/a	n/a	0	35.28	18.9	1
70.98262004	2.7	forage	4.088	0	-1.84411884	12.66666667	2	11.58103969	0	n/a	n/a	n/a	n/a
79.9282491	2.7	engage	1.62	n/a	n/a	n/a	n/a	n/a	n/a	0	10.12	6.3	1
91.03249271	2.7	forage	2.784	0	7.422304545	36	1	18.93727931	1	n/a	n/a	n/a	n/a
96.17922317	2.7	forage	0.987	0	-7.37630753	27.16666667	2	28.8884035	0	n/a	n/a	n/a	n/a
103.1273306	2.7	engage	0.699	n/a	n/a	n/a	n/a	n/a	n/a	0	45.315	17.85	1
115.4101873	2.7	forage	3.771	0	-14.08267609	31.66666667	0.5	35.75	0	n/a	n/a	n/a	n/a
125.4421723	2.7	engage	1.411	n/a	n/a	n/a	n/a	n/a	n/a	0	1.54	35.75	0
137.5263143	2.7	forage	7.571	0	-4.16249015	43.33333333	2	33.75065138	0	n/a	n/a	n/a	n/a
151.3572947	2.7	engage	2.63	n/a	n/a	n/a	n/a	n/a	n/a	0	13.95	12.15	1
164.1737767	2.7	forage	1.695	0	12.25017454	29	1	7.629178613	1	n/a	n/a	n/a	n/a
170.4295958	2.7	forage	7.061	0	-2.873752997	24.66666667	1	20.9	0	n/a	n/a	n/a	n/a
180.7388013	2.7	engage	1.381	n/a	n/a	n/a	n/a	n/a	n/a	0	18.62	3.51	1
190.6221826	2.7	forage	1.109	0	28.35595761	49	1	4.042545647	1	n/a	n/a	n/a	n/a
197.0804105	2.7	forage	1.322	0	-12.63637057	29.33333333	1	36.18206579	0	n/a	n/a	n/a	n/a
205.6372723	2.7	engage	1.239	n/a	n/a	n/a	n/a	n/a	n/a	0	57.46	44.1	1
218.7246568	2.7	forage	2.157	0	17.87879282	46.5	0.5	12.71899552	1	n/a	n/a	n/a	n/a
226.7808692	2.7	forage	1.521	0	-8.599931425	36	1	34.30662693	0	n/a	n/a	n/a	n/a
233.7354802	2.7	engage	1.164	n/a	n/a	n/a	n/a	n/a	n/a	0	57.285	11.2	1
247.2203996	2.7	forage	1.76	0	-6.0647563	42.83333333	1	34.67406821	0	n/a	n/a	n/a	n/a
255.767451	2.7	engage	1.755	n/a	n/a	n/a	n/a	n/a	n/a	0	47.94	43.195	1
265.854549	2.7	forage	1.37	0	29.0685093	60.16666667	2	4.95	1	n/a	n/a	n/a	n/a
273.1054496	2.7	forage	1.889	0	1.093109669	43.5	2	31.67854484	0	n/a	n/a	n/a	n/a
278.6494628	2.7	engage	1.273	n/a	n/a	n/a	n/a	n/a	n/a	0	26.66	18.865	1
287.931755	2.7	forage	3.591	0	-14.2840781	32.66666667	0.5	35.92633419	0	n/a	n/a	n/a	n/a
296.7816164	2.7	engage	1.804	n/a	n/a	n/a	n/a	n/a	n/a	0	12.245	30.705	0
306.6818377	2.7	forage	1.705	0	30.40445517	60.33333333	0.5	3.665643076	1	n/a	n/a	n/a	n/a
