onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005326545	2.7	forage	6.902	0	-1.330014587	34.33333333	1	24.23773452	0	n/a	n/a	n/a	n/a
15.97816481	2.7	engage	0.837	n/a	n/a	n/a	n/a	n/a	n/a	0	12.48	40.08	0
25.07902188	2.7	forage	1.451	0	24.88368459	47.83333333	1	6.05	1	n/a	n/a	n/a	n/a
33.14529602	2.7	forage	2.768	0	-5.786186644	38.16666667	2	34.1	1	n/a	n/a	n/a	n/a
39.48234647	2.7	forage	1.181	0	-6.476684104	31	0.5	31.79694935	0	n/a	n/a	n/a	n/a
45.4261704	2.7	engage	1.661	n/a	n/a	n/a	n/a	n/a	n/a	0	52.765	46.375	1
56.90806201	2.7	forage	7.372	0	2.534282481	37	0.5	26.70085257	0	n/a	n/a	n/a	n/a
68.14148269	2.7	engage	1.532	n/a	n/a	n/a	n/a	n/a	n/a	0	17.85	21.375	0
79.22552345	2.7	forage	1.856	0	10.06766595	59.33333333	2	24.2	1	n/a	n/a	n/a	n/a
86.2808902	2.7	forage	1.773	0	-3.700808477	47	0.5	35.41381973	0	n/a	n/a	n/a	n/a
92.02345712	2.7	engage	1.568	n/a	n/a	n/a	n/a	n/a	n/a	0	46.48	44.505	1
102.9239034	2.7	forage	3.568	0	-4.965333568	46.83333333	0.5	35.67040893	0	n/a	n/a	n/a	n/a
110.355616	2.7	engage	1.052	n/a	n/a	n/a	n/a	n/a	n/a	0	37.605	18.85	1
119.2560986	2.7	forage	1.506	0	-10.17700015	24.16666667	2	28.70446155	0	n/a	n/a	n/a	n/a
126.0047012	2.7	engage	1.694	n/a	n/a	n/a	n/a	n/a	n/a	0	25.68	33	0
136.0889186	2.7	forage	1.15	0	24.37512986	54	2	8.25	1	n/a	n/a	n/a	n/a
142.1524996	2.7	forage	4.47	0	4.690245963	40.83333333	1	26.70135054	1	n/a	n/a	n/a	n/a
150.3862107	2.7	forage	0.822	0	-8.810575256	44.83333333	2	38.5	1	n/a	n/a	n/a	n/a
156.4457574	2.7	forage	1.179	0	-1.536599098	38.33333333	1	31.09952467	0	n/a	n/a	n/a	n/a
166.2024181	2.7	engage	2.666	n/a	n/a	n/a	n/a	n/a	n/a	0	42.33	47.1	0
178.1696403	2.7	forage	1.305	0	-8.559998491	38.83333333	2	36.72985262	0	n/a	n/a	n/a	n/a
184.9177346	2.7	engage	0.97	n/a	n/a	n/a	n/a	n/a	n/a	0	36.57	28.8	1
193.0151427	2.7	forage	2.561	0	-6.341780427	34.66666667	1	33.8912429	0	n/a	n/a	n/a	n/a
198.7671933	2.7	engage	1.252	n/a	n/a	n/a	n/a	n/a	n/a	0	36.24	50.25	0
209.8679202	2.7	forage	2.022	0	6.506635649	32.66666667	1	15.3651426	1	n/a	n/a	n/a	n/a
218.3245747	2.7	forage	2.931	0	4.057338833	28.83333333	0.5	17.18646949	1	n/a	n/a	n/a	n/a
226.8283911	2.7	forage	0.88	0	10.90538336	33.83333333	2	11.30561088	1	n/a	n/a	n/a	n/a
232.2988715	2.7	forage	3.047	0	8.318479117	30.16666667	0.5	13.81548212	1	n/a	n/a	n/a	n/a
239.098479	2.7	forage	2.854	0	2.508510135	31.66666667	1	18.7	1	n/a	n/a	n/a	n/a
248.7134722	2.7	forage	0.854	0	7.909197894	30.33333333	0.5	14.21407374	0	n/a	n/a	n/a	n/a
257.463515	2.7	engage	1.018	n/a	n/a	n/a	n/a	n/a	n/a	0	8.715	11.62	0
269.7465904	2.7	forage	1.393	0	-8.068289657	32.83333333	1	33.60178814	0	n/a	n/a	n/a	n/a
276.497487	2.7	engage	0.793	n/a	n/a	n/a	n/a	n/a	n/a	0	13.12	33.345	0
285.7765162	2.7	forage	1.821	0	-1.311246919	25	1	20.21364116	0	n/a	n/a	n/a	n/a
292.3277415	2.7	engage	1.832	n/a	n/a	n/a	n/a	n/a	n/a	0	21.14	23.8	0
304.6455721	2.7	forage	2.14	0	-2.27367453	31.33333333	2	26.2511091	0	n/a	n/a	n/a	n/a
312.3932496	2.7	engage	1.519	n/a	n/a	n/a	n/a	n/a	n/a	0	27.56	18.36	1
320.4941701	2.7	forage	2.004	0	21.98491726	45.16666667	0.5	7.15	1	n/a	n/a	n/a	n/a
325.554253	2.7	forage	1.275	0	-4.753024328	30.83333333	2	29.41101554	0	n/a	n/a	n/a	n/a
332.3130695	2.7	engage	1.989	n/a	n/a	n/a	n/a	n/a	n/a	0	23.435	31.03	0
342.7904616	2.7	forage	4.377	0	-16.6914907	29.83333333	2	37.57229516	0	n/a	n/a	n/a	n/a
351.0241546	2.7	engage	0.589	n/a	n/a	n/a	n/a	n/a	n/a	0	51.45	12.6	1
361.3040373	2.7	forage	2.038	0	6.56287779	33.33333333	2	16.82873849	1	n/a	n/a	n/a	n/a
368.5577876	2.7	forage	1.474	0	-4.952242677	30.83333333	0.5	26.26745888	0	n/a	n/a	n/a	n/a
374.3061258	2.7	engage	2.006	n/a	n/a	n/a	n/a	n/a	n/a	0	14.455	8.33	1
382.6035549	2.7	forage	1.554	0	14.04398253	54.16666667	1	19.18382627	1	n/a	n/a	n/a	n/a
389.8671886	2.7	forage	1.866	0	-4.789069463	43.66666667	1	35.15507268	0	n/a	n/a	n/a	n/a
400.4211798	2.7	engage	1.867	n/a	n/a	n/a	n/a	n/a	n/a	0	45.885	34.01	0
409.7857126	2.7	forage	1.285	0	31.22331455	54	1	3.228846637	1	n/a	n/a	n/a	n/a
415.2519856	2.7	forage	1.236	0	-2.049181798	39.16666667	2	33.49049344	0	n/a	n/a	n/a	n/a
421.2198484	2.7	engage	1.247	n/a	n/a	n/a	n/a	n/a	n/a	0	50.7	28.32	1
430.2997604	2.7	forage	1.065	0	23.89646949	58.16666667	0.5	10.45	1	n/a	n/a	n/a	n/a
435.3679041	2.7	forage	4.831	0	1.916214644	45.5	0.5	31.40339269	1	n/a	n/a	n/a	n/a
444.5709605	2.7	forage	1.328	0	-8.977684221	39.16666667	2	37.73014939	0	n/a	n/a	n/a	n/a
454.5226568	2.7	engage	0.764	n/a	n/a	n/a	n/a	n/a	n/a	0	52.5	27.805	1
463.6056446	2.7	forage	1.623	0	3.519317606	49.33333333	1	25.08645692	1	n/a	n/a	n/a	n/a
470.0580982	2.7	forage	3.254	0	3.317703503	45.33333333	2	25.41685529	1	n/a	n/a	n/a	n/a
480.0801065	2.7	forage	2.158	0	2.158597153	49	0.5	26.26745888	1	n/a	n/a	n/a	n/a
485.1430499	2.7	forage	2.187	0	2.64247506	44.66666667	0.5	25.84455007	0	n/a	n/a	n/a	n/a
494.8992924	2.7	engage	1.045	n/a	n/a	n/a	n/a	n/a	n/a	0	18.69	27	0
504.9831847	2.7	forage	1.314	0	30.15409973	57.83333333	0.5	3.084382073	1	n/a	n/a	n/a	n/a
510.2544266	2.7	forage	2.001	0	-3.227509515	39.5	1	33.51544691	0	n/a	n/a	n/a	n/a
517.0140298	2.7	engage	1.252	n/a	n/a	n/a	n/a	n/a	n/a	0	26.65	14.85	1
527.2959188	2.7	forage	3.553	0	6.47143705	33.16666667	2	17.88807153	1	n/a	n/a	n/a	n/a
535.6131196	2.7	forage	1.147	0	5.697517898	38	0.5	18.7	1	n/a	n/a	n/a	n/a
