onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005326686	2.7	forage	6.948	0	30.9241901	59.83333333	0.5	3.029716815	1	n/a	n/a	n/a	n/a
17.52376314	2.7	forage	1.534	0	-0.441770535	42	0.5	32.35004778	0	n/a	n/a	n/a	n/a
24.49827071	2.7	engage	1.433	n/a	n/a	n/a	n/a	n/a	n/a	0	32.48	31.415	1
34.18159498	2.7	forage	9.655	0	18.12525678	33.83333333	1	8.25	1	n/a	n/a	n/a	n/a
48.19767042	2.7	forage	1.578	0	1.560005198	27.83333333	0.5	22.30610885	1	n/a	n/a	n/a	n/a
53.46958169	2.7	forage	0.94	0	-17.97968747	25	0.5	37.4	0	n/a	n/a	n/a	n/a
61.01747616	2.7	engage	1.438	n/a	n/a	n/a	n/a	n/a	n/a	0	1.14	39.78	0
69.29730778	2.7	forage	2.371	0	23.81003051	46.5	2	6.893051154	1	n/a	n/a	n/a	n/a
75.55755635	2.7	forage	4.026	0	-6.884106266	38	1	34.65	0	n/a	n/a	n/a	n/a
82.44466733	2.7	engage	1.093	n/a	n/a	n/a	n/a	n/a	n/a	0	19.215	5.16	0
92.52728065	2.7	forage	8.436	0	-10.1175526	41.5	1	36.87536844	0	n/a	n/a	n/a	n/a
104.8266199	2.7	engage	1.921	n/a	n/a	n/a	n/a	n/a	n/a	0	50.16	53.72	0
118.2470712	2.7	forage	1.673	0	31.73605955	61.66666667	2	3.088199789	1	n/a	n/a	n/a	n/a
124.7028918	2.7	forage	1.022	0	-5.799135523	41	2	36.87215935	0	n/a	n/a	n/a	n/a
132.2582151	2.7	engage	1.145	n/a	n/a	n/a	n/a	n/a	n/a	0	14	54.81	0
142.5425734	2.7	forage	1.276	0	31.73043257	59.16666667	2	1.514858408	1	n/a	n/a	n/a	n/a
149.6031398	2.7	forage	1.419	0	-1.081591972	40.5	2	32.18209597	0	n/a	n/a	n/a	n/a
157.3733636	2.7	engage	2.382	n/a	n/a	n/a	n/a	n/a	n/a	0	22.42	19.43	1
167.241958	2.7	forage	2.252	0	29.74525376	54.5	0.5	2.030222323	1	n/a	n/a	n/a	n/a
172.5042869	2.7	forage	0.831	0	1.97414617	39	0.5	28.26976762	0	n/a	n/a	n/a	n/a
180.4553655	2.7	engage	1.472	n/a	n/a	n/a	n/a	n/a	n/a	0	25.575	15.525	1
192.1430264	2.7	forage	1.953	0	-9.391472931	33	1	34.30208994	0	n/a	n/a	n/a	n/a
200.0881491	2.7	engage	0.754	n/a	n/a	n/a	n/a	n/a	n/a	0	47.775	7.28	1
209.5915978	2.7	forage	2.79	0	-6.229161511	28	2	28.87894221	0	n/a	n/a	n/a	n/a
217.2364321	2.7	engage	0.774	n/a	n/a	n/a	n/a	n/a	n/a	0	45.1	19.11	1
228.3193625	2.7	forage	1.468	0	27.6845432	58.5	2	5.609579498	1	n/a	n/a	n/a	n/a
233.388235	2.7	forage	1.077	0	-3.965022048	42	0.5	34.83994517	0	n/a	n/a	n/a	n/a
240.1364158	2.7	engage	1.019	n/a	n/a	n/a	n/a	n/a	n/a	0	27.965	56.925	0
248.0362143	2.7	forage	8.712	0	-12.78974129	31.66666667	2	35.34916755	0	n/a	n/a	n/a	n/a
262.0003057	2.7	engage	1.407	n/a	n/a	n/a	n/a	n/a	n/a	0	43.05	18.48	1
272.2833211	2.7	forage	4.615	0	-9.052035612	24.5	0.5	27.80881998	0	n/a	n/a	n/a	n/a
280.7492753	2.7	engage	3.052	n/a	n/a	n/a	n/a	n/a	n/a	0	9.01	24.475	0
292.5028241	2.7	forage	4.927	0	6.774115487	36.66666667	1	19.7297319	1	n/a	n/a	n/a	n/a
303.7819774	2.7	forage	8.803	0	11.89962343	42.83333333	1	14.85	1	n/a	n/a	n/a	n/a
314.9535823	2.7	forage	1.485	0	-12.12079825	30.33333333	1	33.44741965	0	n/a	n/a	n/a	n/a
321.9133021	2.7	engage	1.249	n/a	n/a	n/a	n/a	n/a	n/a	0	46.53	26.52	1
335.2005767	2.7	forage	1.662	0	15.96445383	41	0.5	11.73485489	1	n/a	n/a	n/a	n/a
341.2511447	2.7	forage	1.493	0	-8.854698456	31	1	31.32770233	0	n/a	n/a	n/a	n/a
346.9982206	2.7	engage	0.982	n/a	n/a	n/a	n/a	n/a	n/a	0	29.445	15.5	1
354.6778832	2.7	forage	5.019	0	-5.667577419	41.33333333	0.5	34.1	1	n/a	n/a	n/a	n/a
363.2610227	2.7	forage	1.132	0	-2.542937813	35.16666667	0.5	29.61581661	0	n/a	n/a	n/a	n/a
371.2269089	2.7	engage	1.127	n/a	n/a	n/a	n/a	n/a	n/a	0	17.085	33.04	0
382.1104714	2.7	forage	2.108	0	6.190932716	38.16666667	0.5	21.81105075	1	n/a	n/a	n/a	n/a
388.1724471	2.7	forage	1.131	0	-11.82701306	31.5	1	34.34591067	0	n/a	n/a	n/a	n/a
394.9255083	2.7	engage	1.323	n/a	n/a	n/a	n/a	n/a	n/a	0	12.22	42.5	0
405.2091586	2.7	forage	19.204	0	27.28494274	49.66666667	1	4.390040742	1	n/a	n/a	n/a	n/a
427.7768924	2.7	forage	1.003	0	-2.275186862	34	2	30.00301041	0	n/a	n/a	n/a	n/a
436.7395634	2.7	engage	0.807	n/a	n/a	n/a	n/a	n/a	n/a	0	46.905	24.525	1
446.4222235	2.7	forage	1.701	0	-12.42865734	34.66666667	0.5	36.85	0	n/a	n/a	n/a	n/a
452.3885962	2.7	engage	12.357	n/a	n/a	n/a	n/a	n/a	n/a	0	35.51	4.425	1
476.0389816	2.7	forage	1.583	0	-11.38685998	30.16666667	1	33.27351994	0	n/a	n/a	n/a	n/a
481.9868227	2.7	engage	1.896	n/a	n/a	n/a	n/a	n/a	n/a	0	22.75	36.66	0
491.1746734	2.7	forage	1.489	0	-4.132787586	50.66666667	1	35.2	1	n/a	n/a	n/a	n/a
498.4311849	2.7	forage	0.927	0	-7.889567091	41.83333333	0.5	36.21006237	0	n/a	n/a	n/a	n/a
506.3883402	2.7	engage	2.448	n/a	n/a	n/a	n/a	n/a	n/a	0	45.43	40.6	1
517.3195943	2.7	forage	2.941	0	-14.29125245	32.33333333	0.5	35.4320507	0	n/a	n/a	n/a	n/a
524.1175641	2.7	engage	2.197	n/a	n/a	n/a	n/a	n/a	n/a	0	19.38	43.955	0
535.8052261	2.7	forage	5.563	0	20.93486662	47.16666667	1	9.098030783	1	n/a	n/a	n/a	n/a
545.1353864	2.7	forage	0.93	0	7.181692571	38	2	21.8162517	1	n/a	n/a	n/a	n/a
551.4039011	2.7	forage	1.874	0	-0.824467917	39.16666667	0.5	29.2117474	1	n/a	n/a	n/a	n/a
557.8621221	2.7	forage	2.665	0	-5.035491005	33.83333333	2	30.80675016	0	n/a	n/a	n/a	n/a
565.4150202	2.7	engage	4.435	n/a	n/a	n/a	n/a	n/a	n/a	0	22.57	35.91	0
577.1507283	2.7	forage	1.424	0	-2.595821471	35.16666667	2	28.99505055	1	n/a	n/a	n/a	n/a
582.4119634	2.7	forage	0.934	0	-1.648515333	39.33333333	1	29.15	1	n/a	n/a	n/a	n/a
590.8852168	2.7	forage	1.835	0	-10.03236775	31.33333333	2	33.34265379	0	n/a	n/a	n/a	n/a
597.6464475	2.7	engage	1.253	n/a	n/a	n/a	n/a	n/a	n/a	0	53.79	39.1	1
608.7535768	2.7	forage	2.24	0	28.64080898	55	2	3.095973543	0	n/a	n/a	n/a	n/a
616.7118594	2.7	engage	4.379	n/a	n/a	n/a	n/a	n/a	n/a	0	2.725	3.12	0
631.5719526	2.7	forage	1.21	0	27.55046577	39	1	1.514305115	1	n/a	n/a	n/a	n/a
636.8384606	2.7	forage	1.566	0	-14.91007277	25.66666667	2	37.30829184	0	n/a	n/a	n/a	n/a
644.7934991	2.7	engage	1.722	n/a	n/a	n/a	n/a	n/a	n/a	0	18.36	14.535	0
655.7812046	2.7	forage	4.673	0	-13.17130074	25.66666667	0.5	32.58494794	0	n/a	n/a	n/a	n/a
664.5090015	2.7	engage	1.084	n/a	n/a	n/a	n/a	n/a	n/a	0	27	12.915	1
673.6130879	2.7	forage	6.282	0	-14.58815083	30.33333333	0.5	37.68856949	0	n/a	n/a	n/a	n/a
686.7408838	2.7	engage	5.726	n/a	n/a	n/a	n/a	n/a	n/a	0	12.825	43.47	0
