onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005286473	2.7	forage	5.259	0	1.09877538	43.66666667	2	29.15	0	n/a	n/a	n/a	n/a
16.11541663	2.7	engage	1.597	n/a	n/a	n/a	n/a	n/a	n/a	0	14.31	4.41	1
24.60554284	2.7	forage	1.267	0	-8.352882819	42.16666667	0.5	37.4	0	n/a	n/a	n/a	n/a
31.18115846	2.7	engage	0.677	n/a	n/a	n/a	n/a	n/a	n/a	0	1.98	50.32	0
41.46677863	2.7	forage	1.94	0	-13.4472275	25.66666667	1	34.32950556	0	n/a	n/a	n/a	n/a
49.01339766	2.7	engage	0.741	n/a	n/a	n/a	n/a	n/a	n/a	0	20.93	54.74	0
58.09825685	2.7	forage	1.393	0	32.03477642	62	1	3.088199789	1	n/a	n/a	n/a	n/a
65.35527594	2.7	forage	0.871	0	-5.570002515	41.16666667	2	36.87536844	0	n/a	n/a	n/a	n/a
74.31183015	2.7	engage	1.41	n/a	n/a	n/a	n/a	n/a	n/a	0	29.37	40.8	0
82.9985375	2.7	forage	0.825	0	22.74616418	43.16666667	2	4.95	1	n/a	n/a	n/a	n/a
88.2542898	2.7	forage	1.039	0	-13.62959995	26.5	0.5	34.35274383	0	n/a	n/a	n/a	n/a
94.81064626	2.7	engage	0.61	n/a	n/a	n/a	n/a	n/a	n/a	0	38.76	17.845	1
104.6977017	2.7	forage	3.89	0	-12.2936799	32.83333333	2	34.20739399	0	n/a	n/a	n/a	n/a
112.4428915	2.7	engage	1.191	n/a	n/a	n/a	n/a	n/a	n/a	0	19.2	26.24	0
123.7256924	2.7	forage	3.19	0	-8.881555254	27.66666667	2	29.92856496	0	n/a	n/a	n/a	n/a
130.1750885	2.7	engage	1.07	n/a	n/a	n/a	n/a	n/a	n/a	0	29.4	9	1
141.2755104	2.7	forage	8.04	0	5.883706219	26.83333333	1	13.13188974	1	n/a	n/a	n/a	n/a
154.0776714	2.7	forage	1.7	0	-9.4834061	20.16666667	2	23.14003068	0	n/a	n/a	n/a	n/a
162.839706	2.7	engage	0.979	n/a	n/a	n/a	n/a	n/a	n/a	0	22.755	32.68	0
172.3249866	2.7	forage	0.986	0	20.66311721	36.16666667	2	3.540488406	1	n/a	n/a	n/a	n/a
178.3864972	2.7	forage	3.095	0	1.765317137	28.5	0.5	20.82414365	0	n/a	n/a	n/a	n/a
186.3383307	2.7	engage	1.337	n/a	n/a	n/a	n/a	n/a	n/a	0	6.84	15.2	0
195.4385573	2.7	forage	1.965	0	-5.987920628	24.66666667	1	25.7494115	0	n/a	n/a	n/a	n/a
202.9873322	2.7	engage	1.549	n/a	n/a	n/a	n/a	n/a	n/a	0	25.245	29.04	0
214.0917342	2.7	forage	3.212	0	-6.39554013	41.33333333	1	34.42118606	0	n/a	n/a	n/a	n/a
223.3526631	2.7	engage	1.732	n/a	n/a	n/a	n/a	n/a	n/a	0	57.8	32.185	1
234.03994	2.7	forage	2.953	0	-9.758283453	22.5	2	28.60260047	0	n/a	n/a	n/a	n/a
240.0517154	2.7	engage	3.505	n/a	n/a	n/a	n/a	n/a	n/a	0	32.76	24	1
253.0535666	2.7	forage	1.53	0	20.55633737	45.16666667	2	7.774611438	1	n/a	n/a	n/a	n/a
258.1068432	2.7	forage	1.007	0	-9.812308737	30.16666667	0.5	32.11393039	0	n/a	n/a	n/a	n/a
266.6501081	2.7	engage	0.977	n/a	n/a	n/a	n/a	n/a	n/a	0	22.365	12.25	1
277.7329131	2.7	forage	1.007	0	29.24995037	60.66666667	1	4.95	1	n/a	n/a	n/a	n/a
282.7934563	2.7	forage	0.974	0	-2.856543769	41.66666667	2	34.381681	0	n/a	n/a	n/a	n/a
289.7486363	2.7	engage	0.943	n/a	n/a	n/a	n/a	n/a	n/a	0	13.545	26.66	0
300.1377044	2.7	forage	5.025	0	13.77762956	56	2	19.21290177	1	n/a	n/a	n/a	n/a
308.7159559	2.7	forage	0.91	0	-0.975760106	48.16666667	1	31.49645642	0	n/a	n/a	n/a	n/a
316.2636437	2.7	engage	0.699	n/a	n/a	n/a	n/a	n/a	n/a	0	32.94	22.44	1
330.3469386	2.7	forage	0.97	0	30.47927871	56.66666667	2	1.514305115	1	n/a	n/a	n/a	n/a
336.6092538	2.7	forage	0.792	0	-6.787010881	37.16666667	0.5	35.11802978	0	n/a	n/a	n/a	n/a
343.5654601	2.7	engage	0.738	n/a	n/a	n/a	n/a	n/a	n/a	0	48.99	17.49	1
354.6644137	2.7	forage	5.957	0	4.165741663	36.66666667	2	23.98338615	1	n/a	n/a	n/a	n/a
365.1810187	2.7	forage	1.677	0	0.104551917	40.83333333	0.5	28.6	0	n/a	n/a	n/a	n/a
372.7286276	2.7	engage	1.435	n/a	n/a	n/a	n/a	n/a	n/a	0	4.635	16.64	0
384.2286518	2.7	forage	2.681	0	23.3935694	50.83333333	0.5	10.99526935	1	n/a	n/a	n/a	n/a
392.6951347	2.7	forage	2.621	0	-0.835600154	44	0.5	33	0	n/a	n/a	n/a	n/a
398.4419843	2.7	engage	1.136	n/a	n/a	n/a	n/a	n/a	n/a	0	8.085	19.8	0
407.3448315	2.7	forage	2.574	0	9.25020455	42	2	17.74020422	1	n/a	n/a	n/a	n/a
412.5922507	2.7	forage	0.969	0	-13.40018661	32.16666667	0.5	34.47120366	0	n/a	n/a	n/a	n/a
419.1573693	2.7	engage	0.901	n/a	n/a	n/a	n/a	n/a	n/a	0	38.76	19.2	1
427.4595593	2.7	forage	2.735	0	-6.225428634	35	0.5	33.33479704	0	n/a	n/a	n/a	n/a
434.4564421	2.7	engage	1.012	n/a	n/a	n/a	n/a	n/a	n/a	0	25.74	10.08	1
443.3386375	2.7	forage	2.672	0	-10.85241302	33.16666667	1	32.85559077	0	n/a	n/a	n/a	n/a
450.0888218	2.7	engage	0.857	n/a	n/a	n/a	n/a	n/a	n/a	0	15.86	20.8	0
463.7715496	2.7	forage	1.375	0	28.52770317	53.5	1	2.030222323	1	n/a	n/a	n/a	n/a
470.027163	2.7	forage	1.167	0	-9.227130426	33.66666667	0.5	34.67691766	0	n/a	n/a	n/a	n/a
