onset	duration	trial_type	RT	ExcludeBlock	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.005357439	2.7	forage	2.809	0	12.65751186	36.66666667	2	14.52275539	1	n/a	n/a	n/a	n/a
13.17493545	2.7	forage	0.899	0	-15.69603524	26	1	35.33627584	0	n/a	n/a	n/a	n/a
20.93181983	2.7	engage	2.959	n/a	n/a	n/a	n/a	n/a	n/a	0	21.78	36.915	1
30.99043407	2.7	forage	1.227	0	-5.735195245	38.5	1	34.98429908	0	n/a	n/a	n/a	n/a
36.54883383	2.7	engage	0.638	n/a	n/a	n/a	n/a	n/a	n/a	0	44.525	13.33	1
47.65072478	2.7	forage	0.739	0	20.32640763	46.16666667	2	8.692467683	1	n/a	n/a	n/a	n/a
54.91261085	2.7	forage	2.703	0	-2.955005784	36.66666667	0.5	29.6253609	0	n/a	n/a	n/a	n/a
60.47939513	2.7	engage	0.721	n/a	n/a	n/a	n/a	n/a	n/a	0	33.63	17.03	1
69.18358558	2.7	forage	2.194	0	-5.317378569	44.33333333	1	32.13512147	0	n/a	n/a	n/a	n/a
75.92936572	2.7	engage	1.627	n/a	n/a	n/a	n/a	n/a	n/a	0	21.535	9.435	1
86.21636714	2.7	forage	0.928	0	25.05064048	50.83333333	0.5	5.609579498	0	n/a	n/a	n/a	n/a
93.1633277	2.7	engage	0.872	n/a	n/a	n/a	n/a	n/a	n/a	0	5.13	4.125	1
104.9506897	2.7	forage	3.475	0	11.61730983	50.83333333	2	22	1	n/a	n/a	n/a	n/a
112.1853524	2.7	forage	1.361	0	-11.1590641	36.16666667	1	37.49798803	0	n/a	n/a	n/a	n/a
123.1428177	2.7	engage	0.939	n/a	n/a	n/a	n/a	n/a	n/a	0	33.99	53.55	0
135.4298966	2.7	forage	2.442	0	-2.391809768	43.66666667	1	31.63234495	0	n/a	n/a	n/a	n/a
141.9778148	2.7	engage	1.1	n/a	n/a	n/a	n/a	n/a	n/a	0	44.175	35.38	1
150.0617333	2.7	forage	2.04	0	-11.65063276	29.16666667	2	31.68836578	0	n/a	n/a	n/a	n/a
156.0117393	2.7	engage	1.06	n/a	n/a	n/a	n/a	n/a	n/a	0	29.37	35.65	1
164.4962498	2.7	forage	4.767	0	8.923197861	37	0.5	18.7	1	n/a	n/a	n/a	n/a
173.8256329	2.7	forage	1.479	0	14.49642976	38.16666667	0.5	13.64194206	1	n/a	n/a	n/a	n/a
180.8954606	2.7	forage	1.546	0	-0.934147008	29.5	2	25.24389618	0	n/a	n/a	n/a	n/a
186.6418431	2.7	engage	0.66	n/a	n/a	n/a	n/a	n/a	n/a	0	35	18.36	1
198.7236793	2.7	forage	5.879	0	5.084012877	41.33333333	1	23.1	0	n/a	n/a	n/a	n/a
208.6536069	2.7	engage	0.595	n/a	n/a	n/a	n/a	n/a	n/a	0	2.07	33.39	0
218.7415953	2.7	forage	1.161	0	-5.347717419	31.5	2	30.51516523	0	n/a	n/a	n/a	n/a
227.2871929	2.7	engage	0.843	n/a	n/a	n/a	n/a	n/a	n/a	0	43.16	33.35	1
236.9754594	2.7	forage	1.496	0	-4.758594135	37.83333333	2	34.0960163	0	n/a	n/a	n/a	n/a
243.7181277	2.7	engage	1.513	n/a	n/a	n/a	n/a	n/a	n/a	0	23.56	7.91	1
256.3087587	2.7	forage	1.236	0	-11.37000486	28.83333333	2	33.38965595	0	n/a	n/a	n/a	n/a
263.0835948	2.7	engage	0.821	n/a	n/a	n/a	n/a	n/a	n/a	0	17.875	41.87	0
271.7817547	2.7	forage	1.036	0	17.21759217	37.66666667	1	10.61781349	1	n/a	n/a	n/a	n/a
278.2524883	2.7	forage	0.844	0	-13.37200191	27.33333333	2	34.31810774	0	n/a	n/a	n/a	n/a
284.0004981	2.7	engage	1.146	n/a	n/a	n/a	n/a	n/a	n/a	0	26.07	26.55	0
292.8920382	2.7	forage	1.912	0	11.20909461	30.16666667	2	11.84437906	1	n/a	n/a	n/a	n/a
300.1613274	2.7	forage	1.806	0	6.452143755	31.83333333	2	16.5	0	n/a	n/a	n/a	n/a
305.9143617	2.7	engage	0.952	n/a	n/a	n/a	n/a	n/a	n/a	0	12.45	1.755	1
318.0023908	2.7	forage	1.005	0	31.21047449	59.66666667	0.5	2.056254716	1	n/a	n/a	n/a	n/a
323.0616576	2.7	forage	1.049	0	-7.174793018	38.66666667	1	36.40064383	0	n/a	n/a	n/a	n/a
329.6128482	2.7	engage	1.373	n/a	n/a	n/a	n/a	n/a	n/a	0	39.78	28.16	1
338.5011687	2.7	forage	1.274	0	8.751496571	23.83333333	2	11.219159	1	n/a	n/a	n/a	n/a
343.9575497	2.7	forage	1.48	0	-3.435822142	20.83333333	1	20.9961345	0	n/a	n/a	n/a	n/a
351.7114668	2.7	engage	1.76	n/a	n/a	n/a	n/a	n/a	n/a	0	5.785	11.31	0
363.5973801	2.7	forage	0.898	0	28.24534899	57.5	1	4.253654243	1	n/a	n/a	n/a	n/a
369.665586	2.7	forage	0.965	0	4.860025485	43.16666667	1	27.32397012	0	n/a	n/a	n/a	n/a
375.4100092	2.7	engage	0.776	n/a	n/a	n/a	n/a	n/a	n/a	0	13.25	34.32	0
388.5012156	2.7	forage	1.867	0	24.69972419	48.5	0.5	5.430478849	1	n/a	n/a	n/a	n/a
394.579302	2.7	forage	4.773	0	6.798823667	38.16666667	2	22.72287611	0	n/a	n/a	n/a	n/a
402.4084296	2.7	engage	0.813	n/a	n/a	n/a	n/a	n/a	n/a	0	8.85	19.125	0
412.3111607	2.7	forage	0.797	0	21.07808259	52.33333333	0.5	9.690523616	1	n/a	n/a	n/a	n/a
420.5805846	2.7	forage	2.869	0	-4.077766377	40	0.5	32.71682511	0	n/a	n/a	n/a	n/a
427.7068024	2.7	engage	0.606	n/a	n/a	n/a	n/a	n/a	n/a	0	10.88	50.88	0
439.3929186	2.7	forage	3.877	0	4.28655299	31.5	1	19.29738947	0	n/a	n/a	n/a	n/a
450.3220944	2.7	engage	1.775	n/a	n/a	n/a	n/a	n/a	n/a	0	11.88	14.45	0
460.6137898	2.7	forage	0.86	0	26.27350083	53.16666667	0.5	4.587704341	1	n/a	n/a	n/a	n/a
467.0808179	2.7	forage	1.18	0	-6.704745569	37.66666667	1	34.42267995	0	n/a	n/a	n/a	n/a
